Designator,Package,Mid X,Mid Y,Rotation,Side
J3,AMPHENOL_59453-061110EDHLF,134.57,-93.92,270,top
R1,R_0805_2012Metric,144.91,-92.03,0,top
R2,R_0805_2012Metric,144.89,-93.93,0,top
R3,R_0805_2012Metric,144.88,-95.83,0,top
U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,140.28,-92.56,270,top
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,140.26,-95.31,270,top
U3,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,149.49,-95.29,270,top
U4,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,149.49,-92.57,270,top
C1,C_0402_1005Metric,147.505,-93.275,180,bottom
C2,C_0402_1005Metric,142.275,-91.775,0,bottom
C3,C_0402_1005Metric,142.275,-94.5,0,bottom
RN1,R_Array_Concave_4x0402,139.8,-92.55,90,bottom
RN2,R_Array_Concave_4x0402,139.8,-95.3,90,bottom
RN3,R_Array_Concave_4x0402,149.95,-92.575,90,bottom
RN4,R_Array_Concave_4x0402,149.975,-95.3,90,bottom
